品牌/Brand,車型/Model,資訊/Info,年份/Year,冷媒/Refrigerant,冷媒量/Amount (g),冷凍油/Oil (cc)
車型 / Car model /  Car model,3 SERIES (E36) / 3 SERIES (E36), / ,1991 - 1993,R12 → R134a,1200 ± 25,200 ± 10
車型 / Car model /  Car model,3 Series E36 / 3 Series E36, / ,1993 - 2001,R134a,800 ± 20,150 ± 10
車型 / Car model /  Car model,3 Series E46 / 3 Series E46, / ,2000 - 2007,R134a,730 ± 20,130 ± 10
車型 / Car model /  Car model,3 SERIES (E36) / COMPACT (E36) / 3 SERIES (E36) / COMPACT (E36),Denso / round pipe / Denso / round pipe,1993 - 2001,R134a,1000 ± 25,120 ± 20
車型 / Car model /  Car model,3 SERIES (E36) / COMPACT (E36) / 3 SERIES (E36) / COMPACT (E36),Denso / flat pipe / Denso / flat pipe,1993 - 2001,R134a,825 ± 25,120 ± 20
車型 / Car model /  Car model,3 SERIES (E36) / COMPACT (E36) / 3 SERIES (E36) / COMPACT (E36),Seiko / round pipe / Seiko / round pipe,1993 - 2001,R134a,1000 ± 25,150 ± 10
車型 / Car model /  Car model,3 SERIES (E36) / COMPACT (E36) / 3 SERIES (E36) / COMPACT (E36),Seiko / flat pipe / Seiko / flat pipe,1993 - 2001,R134a,825 ± 25,150 ± 10
車型 / Car model /  Car model,3 SERIES (E46) / 3 SERIES (E46),Seiko / Seiko,1998 - 2006,R134a,740 ± 25,150 ± 10
車型 / Car model /  Car model,3 SERIES (E46) / 3 SERIES (E46),Diesel / Diesel,1998 - 2006,R134a,680 ± 10,150 ± 10
車型 / Car model /  Car model,3 SERIES (E90 / E91 / E92) / 3 SERIES (E90 / E91 / E92), / ,2005 - 2009,R134a,590 ± 10,見規格 / See Spec
車型 / Car model /  Car model,3 SERIES M3 (E30) / 3 SERIES M3 (E30), / ,1987 - 2001,R12 → R134a,875 ± 25,200 ± 10
車型 / Car model /  Car model,3 Series E90/E91/E92/E93 / 3 Series E90/E91/E92/E93, / ,2004 - 2010,R134a,590 ± 20,110 ± 10
車型 / Car model /  Car model,3 Series E90/E91/E92/E93 / 3 Series E90/E91/E92/E93, / ,2010 - 2013,R134a,620 ± 20,120 ± 10
車型 / Car model /  Car model,3 Series F30/F31/F34/F35/F80 / 3 Series F30/F31/F34/F35/F80, / ,2013 -,R134a,550 ± 20,100 ± 10
車型 / Car model /  Car model,3 Series F30/F35/F80 Hybrid / 3 Series F30/F35/F80 Hybrid, / ,2011 -,R134a,850 ± 20,160 ± 20
車型 / Car model /  Car model,3 Series G20 / 3 Series G20, / ,2018 -,R1234yf,550 ± 20,100 ± 10
車型 / Car model /  Car model,4 Series F32/F33/F36/F82/F83 / 4 Series F32/F33/F36/F82/F83, / ,2013 -,R134a,550 ± 20,100 ± 10
車型 / Car model /  Car model,5 SERIES (E34) / 5 SERIES (E34),Denso / round pipe / Denso / round pipe,1993 - 1996,R134a,1550 ± 25,175 ± 15
車型 / Car model /  Car model,5 SERIES (E34) / 5 SERIES (E34),Denso / flat pipe / Denso / flat pipe,1993 - 1996,R134a,1450,175 ± 15
車型 / Car model /  Car model,5 SERIES (E34) / 5 SERIES (E34),Seiko / round pipe / Seiko / round pipe,1993 - 1996,R134a,1550 ± 25,185 ± 5
